industry,job_role,education_level,experience_years,ai_adoption_level,automation_risk,skill_shift_level,salary_change_percent,job_replacement_probability
Healthcare,Manager,Bachelor,3,0.4944663952431091,0.28812563601450447,0.5669036179178024,10.55251874096486,0.23388990729253017
Manufacturing,Technician,High School,21,0.8308240152057424,1.0,0.9813894660672993,41.81717208203847,0.5454438269204216
IT,Teacher,Diploma,24,0.817674522086173,0.6916312279813241,0.7207428468573523,30.25568734182707,0.5459734518296309
Manufacturing,Technician,Diploma,12,0.5563000311308253,0.6477996154556411,0.7906674491088674,20.543945221936447,0.4793573965526225
Retail,Technician,Diploma,17,0.49750541455273656,0.6509964679505711,0.7842437207860206,24.756723694629102,0.3979966786460511
Healthcare,Technician,High School,0,0.3595112556317954,0.5127079370160395,0.511499801660566,9.879273718866349,0.47094670253721643
Healthcare,Software Engineer,Bachelor,15,0.6881851937473793,0.5729119560784705,0.6772384337621584,18.34390393528845,0.48320699273875883
IT,Software Engineer,Diploma,12,0.6946088857980042,0.6153169280222122,0.66256273514451,21.76179784536106,0.444124106208365
Healthcare,Manager,Master,9,0.5976909142157165,0.45975680424363985,0.7797860259431104,26.574940127170862,0.30461917270064554
Education,Data Analyst,Diploma,11,0.59047171301223,0.4963747469626789,0.6745400499095401,24.76035298587247,0.4047079382169648
Healthcare,Technician,Diploma,1,0.6391136680833001,0.664448766421206,0.9057947806147943,31.85119634828836,0.5854457347130763
Manufacturing,Support Staff,Diploma,22,0.7947603812941713,0.9602957206899896,1.0,37.910879923591466,0.8129050408627885
Manufacturing,Data Analyst,Diploma,2,0.8438113183252685,0.8389569367729747,0.9549144404681699,33.21419106160068,0.7386683110889054
Logistics,Support Staff,Bachelor,9,0.7936295426412197,1.0,1.0,32.08786537851621,0.6902349186148377
Manufacturing,Data Analyst,Master,1,0.7674705740387354,0.7584993843794395,0.8253316930236518,26.456600465672622,0.7353566384344049
Logistics,Manager,Bachelor,22,0.6457146823902643,0.5264849130350655,0.6299676767801322,20.619272512104978,0.25153324721054193
Manufacturing,Technician,Master,12,0.7698833386621485,0.8262493277495755,1.0,31.000133607796442,0.5545476940401286
Education,Technician,Diploma,12,0.4364365603665442,0.5727837682983488,0.705908337538155,19.076406508212624,0.4165951090751257
Government,Clerk,High School,17,0.4222811870684016,0.7306985443744676,0.7258238250025129,21.56239353377211,0.5346394600729184
Logistics,Support Staff,Bachelor,2,0.6074447727903958,0.8009755379291323,0.9406839160079892,35.82249102499021,0.5149262915297598
Finance,Data Analyst,High School,6,0.5764551140091575,0.6871238369851479,0.7966321245767827,21.81308527858589,0.6043530382845601
Retail,Data Analyst,Bachelor,13,0.39208652927908644,0.3964296239995534,0.6249620043477981,16.194217029486936,0.24285240424731208
IT,Nurse,Diploma,19,0.6739193274362911,0.6196172451844534,0.6234890736084701,18.289257873454343,0.39588958723856504
Manufacturing,Nurse,Bachelor,16,0.64216052431362,0.5313822648610793,0.8733433516518909,32.46536368783974,0.415928089731071
Healthcare,Software Engineer,Diploma,20,0.3661432475175068,0.2928530280442623,0.4335233074882383,6.927409546636412,0.12923046964277882
Government,Clerk,Bachelor,11,0.39850977297178497,0.6802256670733866,0.7277165783006844,28.39458857345611,0.39838993418833735
Manufacturing,Teacher,Diploma,24,0.6493399564582322,0.6946293723936253,0.9574017110647721,40.26993163905192,0.37440517851533966
Healthcare,Nurse,Diploma,15,0.6385871828304612,0.4638538169075755,0.4399772677853756,11.725569926449307,0.38169474827713556
Retail,Teacher,Master,23,0.3759843055459352,0.3393647092146198,0.7070721108267493,26.506699396303198,0.11394964435811057
Retail,Software Engineer,Diploma,11,0.42922302301952003,0.38435855347892645,0.6831565331800703,15.141969648033754,0.24258035480731388
Retail,Software Engineer,Master,14,0.605586151481551,0.43645934214460363,0.7316104718493799,21.78980853740348,0.29056460927522715
Healthcare,Software Engineer,Diploma,24,0.5595829037342219,0.4230447779212892,0.6427013052971856,25.269481506310658,0.2280170629678328
Manufacturing,Support Staff,High School,9,0.5725719449372086,0.7095610451831431,0.7276170379467634,17.472562393112984,0.4171981168249396
Retail,Support Staff,Diploma,24,0.6570338100067701,0.7421310683655573,1.0,35.18776601052864,0.4925601461001541
Education,Manager,High School,6,0.5570416169891628,0.3788765720158531,0.46427646015378177,11.116002646931914,0.2671606094697071
Logistics,Manager,High School,19,0.5656428013565209,0.39234701049841125,0.5486829668075555,13.567689838727297,0.29351290425822096
Healthcare,Software Engineer,Diploma,4,0.4691420451723476,0.37272195272351416,0.6461596532924619,23.08492008789502,0.24303199887323731
Healthcare,Clerk,High School,0,0.6961599254225608,1.0,1.0,28.572703569651484,0.7739539688658232
Manufacturing,Data Analyst,Master,16,0.7691616600575983,0.8248230680976162,1.0,39.76873229489335,0.5772342962031259
Healthcare,Support Staff,Bachelor,2,0.5359607821988206,0.8398358786321412,0.9458920060758517,31.060524576290224,0.6507347786133678
Healthcare,Clerk,Diploma,12,0.6433532642431735,0.8525846898175317,1.0,38.40396930983947,0.6928670577639753
Retail,Technician,High School,13,0.4498516184250607,0.5899960544116464,0.7098378903468965,20.27128900534771,0.36300054283742716
Manufacturing,Support Staff,Diploma,23,0.7002139076887249,0.9997568697082679,1.0,37.77387522774447,0.612198196578376
Retail,Support Staff,Master,17,0.44372183642091695,0.6683662900352038,0.9550030490702268,38.65716140483832,0.520021094228781
Logistics,Manager,Diploma,3,0.726206296306056,0.5792491677024822,0.6367828043491844,16.857763385190555,0.462939462300436
Government,Data Analyst,Diploma,17,0.4006722709723263,0.4863792156712983,0.565887799121284,15.181589303381012,0.3018195724221287
Logistics,Data Analyst,High School,4,0.6805887745490247,0.622817686382447,0.7154828083684763,21.430591011614272,0.421715424759657
Government,Nurse,Master,24,0.28830753744379234,0.2087267442402041,0.5352319387861628,19.49379028181373,0.029372065099334904
Retail,Teacher,Bachelor,15,0.42707885548206026,0.37537411248707026,0.4866680054561875,12.222820391510469,0.17037945707336477
Logistics,Teacher,Bachelor,0,0.6209311201440286,0.5764786580330612,0.7793845661800284,28.338829179808553,0.3931579801953186
Manufacturing,Teacher,High School,20,0.8081480121824893,0.5641631243623637,0.5851318721141043,15.8702841336428,0.3766577810523438
IT,Teacher,Diploma,13,0.8338339151320561,0.9300061552648179,1.0,35.305563274029446,0.8298106261402238
Retail,Technician,High School,14,0.361425987140984,0.48437012998182183,0.5477249628006045,18.5307552381245,0.2935234966025548
Government,Technician,High School,8,0.5039930272121012,0.5904188255649688,0.5172718149634787,15.146684759305641,0.41150008288574874
Education,Support Staff,High School,14,0.27264041273029604,0.5189639969912544,0.4770823795097921,16.632399706946522,0.2883249004594631
Government,Software Engineer,Diploma,16,0.5345385693022633,0.4565250088329634,0.4279116424998347,16.417734080665866,0.27883816679804213
Education,Manager,Master,24,0.25879968539704545,0.2082811517599044,0.4330371828649182,11.408973174462394,0.01809615146829624
Healthcare,Manager,High School,23,0.593057659645748,0.4815097243756661,0.41872777844754555,6.776560587539292,0.35262310126457835
Logistics,Teacher,Diploma,3,0.4787724722991236,0.33370195051708645,0.32365093977545767,-2.4707171404087886,0.28052276726062547
Education,Support Staff,Master,11,0.5687368028022988,0.8222893090371843,1.0,37.922522873677266,0.7646268047410468
Government,Nurse,High School,4,0.36255163267894,0.33267468990125015,0.5381039651628696,17.50284248803372,0.2990310710944107
Healthcare,Clerk,Bachelor,4,0.39813332118595535,0.6870882876531825,0.8453185965371607,23.48788787550526,0.5403525909596127
IT,Software Engineer,Master,10,0.7692854949264463,0.8563328695777604,1.0,30.90137644627887,0.6623745461261078
Manufacturing,Support Staff,High School,5,0.6076886363713667,0.8681051537467528,0.7681704386064849,18.314130835600114,0.5971723667921791
Manufacturing,Software Engineer,Master,6,0.6097036690449815,0.575008128010578,0.8399009377062658,30.867977257388443,0.43674201536456936
Manufacturing,Software Engineer,Master,23,0.8818379120600048,0.9515818056467558,1.0,35.33658327871101,0.8042848867130653
Education,Software Engineer,Master,13,0.4058361392996759,0.3773295855599604,0.5874346551144212,15.85492219326627,0.1869802060566576
IT,Support Staff,Master,23,0.9260807923668759,1.0,1.0,37.63300229931535,0.8372448810494084
Education,Teacher,Master,10,0.4738619464121886,0.49424413717826104,0.7036282345964737,25.736709367355928,0.3302376973818565
Logistics,Manager,Master,12,0.6867492268184373,0.4836374065572734,0.6788735591851616,22.75930882207009,0.40662762156894705
Education,Manager,High School,1,0.2960927034652135,0.2172895577919081,0.37296192491071284,6.364062179275814,0.20779339513922185
IT,Teacher,Bachelor,24,0.73196455638542,0.7893463587386542,0.8367207609793037,26.560499443539594,0.5784157976963258
IT,Software Engineer,Diploma,6,0.925362617304053,0.9485517989156897,0.9677255261225853,32.9059273760343,0.807142801600399
Logistics,Clerk,Master,19,0.789768172266174,1.0,1.0,39.38457220614386,0.713464018198059
IT,Data Analyst,Diploma,3,0.7419364749095281,0.8577367674356565,0.899601472228099,34.76119684663036,0.7933646487750805
Government,Support Staff,High School,7,0.295049067662864,0.48303315358742005,0.5668736001609742,11.326187717804066,0.4415433449643974
IT,Data Analyst,Master,19,0.8155139964838167,0.9824397893395498,1.0,30.914520236806716,0.8101007832968365
Manufacturing,Nurse,Bachelor,21,0.8943441094994032,0.7026320780624307,1.0,32.10361720318164,0.504658295622573
Government,Teacher,Diploma,20,0.2941356310392649,0.1874627210146892,0.24153925697265452,1.3794961459532047,0.06166363522961568
Government,Clerk,Master,18,0.34244016837199237,0.5508264799099536,0.6577147755240014,25.04370067153191,0.4318058924290441
Logistics,Support Staff,High School,12,0.7620180054682274,0.9537957005402833,1.0,29.485704981218937,0.7406364440692903
Finance,Teacher,Bachelor,13,0.5010223614174767,0.44087806543659747,0.45420827064635927,10.52013929371625,0.3456122095698008
Finance,Software Engineer,Diploma,9,0.5139180877459993,0.5252128107678518,0.6922018084738092,18.89984876541815,0.389933896329037
IT,Manager,Diploma,10,0.8614250869749267,0.702896330744767,0.8972657814815419,25.006740687866113,0.4222447630984146
Government,Data Analyst,Master,1,0.5175830576494964,0.5509971043390749,0.6762178903244267,18.032640504670606,0.4271919093644422
Finance,Technician,Bachelor,24,0.5835998311406747,0.5412104933173224,0.5558979190225944,14.872390844057378,0.3159744591393948
Finance,Technician,Bachelor,8,0.6643746211382482,0.7207801233434499,0.8480559989652573,25.985137965600657,0.46423329353139714
IT,Clerk,Bachelor,16,0.8076628555802364,1.0,1.0,38.66738365741152,0.6058737152162246
Finance,Software Engineer,Bachelor,2,0.6655399711334286,0.45379961461296886,0.49456686199863686,10.914120596870266,0.37001757522600726
Education,Nurse,High School,23,0.4678818935054108,0.3600502337043454,0.349041664710048,3.802644059865921,0.12976224709198386
Healthcare,Data Analyst,Bachelor,5,0.5144103170467393,0.4839464413063278,0.5873602149256936,20.96818415673988,0.340878419418087
Logistics,Software Engineer,Diploma,4,0.6066138494628602,0.41642141129063276,0.55191103064813,15.26692556768271,0.3591970605895598
Healthcare,Data Analyst,Diploma,4,0.5160009471509411,0.5482851075106018,0.7357222674366564,25.097923142599914,0.5214596503232811
IT,Clerk,High School,21,0.8568036044448646,0.9626682310259124,1.0,32.15055780010045,0.7626092708267576
Manufacturing,Clerk,Diploma,14,0.7379526209229754,1.0,1.0,30.364700553520223,0.9274189419585046
Logistics,Nurse,Diploma,22,0.7489475991776766,0.7974847981524229,0.8077149095108421,22.98054753240487,0.6032849894228494
IT,Technician,Bachelor,16,0.6673238987227833,0.7643298380749584,1.0,32.465528333281334,0.49540895281261205
Government,Software Engineer,Diploma,8,0.4916609750155544,0.5359459664034087,0.6813692766758485,19.234518223035124,0.43442922506547
Manufacturing,Support Staff,High School,2,0.8453736144141034,1.0,1.0,38.62991360083387,0.8857548678189163
Healthcare,Technician,Bachelor,19,0.44971780753583623,0.5411802273343026,0.6712215062962587,21.489683694520956,0.3271771006816575
IT,Software Engineer,Master,16,0.8119981842555477,0.9204579972128306,1.0,33.68306126447035,0.5240043975975359
Government,Technician,Bachelor,9,0.35348847098810243,0.4019487194061141,0.5852309150252278,16.878614218371215,0.3151942561559809
Logistics,Support Staff,High School,2,0.5264784420239457,0.8181623845536512,0.8298556059908131,21.086717207204057,0.5280195205533608
Logistics,Manager,Bachelor,17,0.5888788964802107,0.3530109318440622,0.5174813120558206,16.000729734571728,0.2224428077603373
Retail,Manager,Bachelor,17,0.365535720259799,0.24757844924594916,0.42345025613537535,11.27644497805793,0.09010376280374914
Government,Nurse,High School,16,0.29723772547360705,0.18229175222992372,0.15256159339476122,1.5691881036327704,0.0745763392986664
Education,Manager,Bachelor,23,0.5358387614077513,0.47771757969406947,0.5879712100259256,24.89895579057094,0.27977126560254295
Finance,Manager,High School,2,0.5995968056170141,0.5138576287208881,0.6908510413983296,16.498778523518162,0.3264378895353703
Manufacturing,Teacher,High School,2,0.8363723340618867,0.8432334572654381,1.0,33.51587740964513,0.6451949563084148
Government,Data Analyst,Master,5,0.38605981261155087,0.4046021843259212,0.580530117066776,20.030240143832962,0.3231123995694955
Retail,Teacher,Diploma,12,0.657951937076406,0.552859562202112,0.6102998609752683,21.28577235696117,0.4635648017989839
Finance,Teacher,Diploma,23,0.7011728439925453,0.49017912446692485,0.5084981320670837,15.33129158022846,0.35607426556718863
Finance,Nurse,Bachelor,14,0.510383878072659,0.4131607234615621,0.6506326324892655,25.422928257394283,0.2685222015330389
IT,Teacher,Bachelor,24,0.8863970726414813,0.9854711382132568,1.0,32.48684032220171,0.771800008019305
Finance,Manager,Master,8,0.5156987488082491,0.3747790544386659,0.7704913931233819,29.444096127103194,0.24511657682323199
Education,Support Staff,Master,3,0.4077089566440969,0.6583119445241827,0.8223016252465665,20.20966184468917,0.4917456532983717
Logistics,Nurse,Master,13,0.7752993430655899,0.8253489920151992,1.0,36.167656929376214,0.5276519391491772
Retail,Nurse,High School,4,0.40782137876824753,0.32436310942962104,0.4355300781038332,13.084144890685526,0.2546323538326807
Finance,Clerk,Master,1,0.6364553235295405,0.9083461446690091,1.0,30.352651322735635,0.6854315908459393
IT,Nurse,Master,10,0.9054511080969674,0.6679477764043315,0.8822793092753032,29.36955090473055,0.4038904280970843
Education,Clerk,Bachelor,8,0.5587904946331966,0.6951634434100158,0.8430930552361512,25.431134035270404,0.5785231547030685
Healthcare,Nurse,Master,23,0.5848300516598777,0.4014279475237262,0.799901189281909,34.021280522602126,0.24536733700925106
Logistics,Data Analyst,High School,2,0.5403606389669092,0.5965514384226986,0.5002242128216793,14.793836714012658,0.4529223333101238
Logistics,Manager,High School,8,0.6861127485206757,0.5461342896762765,0.7594071407742126,26.28133947075612,0.32965273603179224
Retail,Nurse,Bachelor,2,0.45385467438643146,0.40231817684400845,0.45451746592291653,9.90480980591255,0.3115343771090835
Logistics,Manager,Master,24,0.7014502304365573,0.5905657821278073,0.915639628800927,37.8508847679315,0.3552976233942753
Finance,Manager,Master,1,0.8339115946547642,0.6568509466300757,0.92312699257628,28.44791916421516,0.5756791016147522
IT,Technician,High School,11,0.9024877078872009,1.0,1.0,34.570622261272746,0.7053957369405391
Logistics,Nurse,Master,9,0.7520081760193444,0.7706859592033379,1.0,37.56002065297034,0.6400702617235867
Logistics,Software Engineer,Master,8,0.4507363451115592,0.2910193284075106,0.3455368582008578,3.4422157785631704,0.23792956701285842
Healthcare,Technician,Master,14,0.6011502436560581,0.6069253742928998,0.7362671025191232,18.698830917941027,0.37494920009289107
Healthcare,Software Engineer,Diploma,7,0.6403556449028376,0.6357928101005812,0.7842052887879188,19.581253302089202,0.5961018319721374
Manufacturing,Manager,Bachelor,24,0.5641955581406385,0.42130489144488814,0.5443446824622824,12.679864326471156,0.21082075456514243
Education,Manager,Diploma,4,0.5550592045508806,0.48176741909087206,0.6453995424522867,22.279155290476858,0.3382136068495888
Finance,Technician,Bachelor,10,0.5898429799085161,0.6344763050420544,0.6429148727350879,18.597886382153405,0.4560131984418981
Logistics,Technician,High School,1,0.6828522356923193,0.732211789988703,0.6729724156573024,21.038347136715444,0.49512929417335005
Government,Software Engineer,Master,23,0.48012420765819236,0.3443766615697037,0.43886034564615745,11.063627581335805,0.1239963931687899
Logistics,Clerk,Bachelor,14,0.6819325795707745,0.840692700092842,0.9069419761634453,28.716920296342654,0.5983943423450209
IT,Software Engineer,Diploma,5,0.68229967722564,0.6476072689504453,0.7583732732306353,21.293103306125133,0.5687623399205124
Manufacturing,Technician,Master,7,0.758712531601129,0.8169252250528148,1.0,37.930188143806205,0.7534221189105977
Education,Support Staff,High School,4,0.4423542798527502,0.6858979574554667,0.9028365507305821,30.930238283253455,0.5854327280152315
Government,Technician,Bachelor,15,0.5151124438259951,0.6839640367379008,0.9763444223373869,40.18717636467724,0.3947648609901983
Manufacturing,Support Staff,Bachelor,17,0.6914839053754732,0.8871558303021279,0.9560665854236171,36.57945368698478,0.700316477230232
Retail,Data Analyst,Bachelor,5,0.4623783839804675,0.5545566702921072,0.7089593635728285,21.74535094183361,0.4587951128603567
Education,Technician,Master,4,0.5124477675527632,0.5551084653518636,0.6749025245673509,20.492965713360803,0.49737073272061183
Logistics,Data Analyst,Diploma,15,0.5944363641291889,0.6068305643222035,0.6493957001557202,25.531263780628386,0.49471500674117336
Logistics,Clerk,Diploma,12,0.6761336612517721,0.9739700868843864,1.0,38.85841115840047,0.8690418952772614
Education,Software Engineer,Bachelor,4,0.4762575315436124,0.3899645153159196,0.4138026739691525,1.7096151770091161,0.29000074333130776
Logistics,Support Staff,High School,12,0.7608136725260413,0.9720944248526355,0.9484554402102812,33.49017116309102,0.8092979069629542
Finance,Software Engineer,High School,16,0.7095423408116841,0.5413451816256006,0.7687275380830917,28.052800152297905,0.3226999818018162
Education,Data Analyst,Diploma,17,0.42575376348669536,0.48422502517604565,0.5973657276065167,21.265839483563116,0.3991125387314515
Manufacturing,Support Staff,High School,7,0.598604964238781,0.8810215950366842,0.9369068791289396,28.118514992569516,0.5917296753246806
Education,Software Engineer,Diploma,12,0.2905081623375469,0.2814372292275536,0.2365357333905012,5.4502362559887825,0.12393050116555282
Government,Technician,Bachelor,18,0.2540125478490778,0.3733060665642056,0.4598959780346267,17.765436777660163,0.1720918618272733
Logistics,Manager,Diploma,2,0.510146968464483,0.4538099478493859,0.7070123004431493,17.056137190080154,0.4082109632416321
Finance,Data Analyst,Diploma,23,0.7232569824322719,0.7740289510023332,0.7816489008928672,32.36558603038597,0.5091570433099324
Finance,Software Engineer,Bachelor,7,0.7593434375961025,0.7192913230447461,0.8645850518818985,23.47007248487857,0.5451984258377301
Retail,Data Analyst,High School,1,0.5354970330242466,0.48382904518146896,0.3888448622349194,0.36650083395431476,0.47121261893070115
Manufacturing,Teacher,Diploma,7,0.8401562063909218,0.7479271281552985,0.8653445467399931,23.891190204532677,0.6918895968004238
Healthcare,Data Analyst,Diploma,12,0.6969421293567716,0.7140808394374614,0.6714382267916373,15.307613159228115,0.48192891549421263
Healthcare,Support Staff,Bachelor,12,0.6370044201917746,0.9525086262729008,1.0,39.54014684586931,0.6288259919470716
Education,Teacher,High School,0,0.49320883078658573,0.41558375445678986,0.6042825730772762,9.901317521976692,0.3935448382348336
Retail,Nurse,Diploma,5,0.5363724448030013,0.4848728494687186,0.710582615374548,18.236187988218525,0.44392376918226567
IT,Support Staff,Bachelor,23,0.8070985750861479,0.9989978313489971,1.0,32.84507612243028,0.7237175433461907
Education,Manager,Diploma,18,0.2795373331905898,0.18975240241013683,0.43278542878777315,8.620408731214969,0.07514119302801978
Retail,Teacher,Master,15,0.4897790619381418,0.4822452448620815,0.7222945912739258,18.589970218537708,0.2818229014058535
Manufacturing,Nurse,Bachelor,7,0.868547122873747,0.6893671054887547,0.8201999435922055,28.325036470565415,0.6063050794454701
Manufacturing,Technician,High School,0,0.8328079204672936,0.9227525881368108,1.0,28.599921796110902,0.8039415946936588
Manufacturing,Data Analyst,High School,15,0.6256179777540906,0.7517325179446254,0.6560518840657563,24.74448589302569,0.5461037545475205
Manufacturing,Software Engineer,High School,8,0.7133127246440256,0.6336400717405972,0.5836763789008605,19.671729659258418,0.38519656305639666
Manufacturing,Clerk,High School,12,0.8358531208954907,0.9816271647995813,1.0,29.56394022564731,0.8927449812564501
